time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_position_x,{sensorFMU}.sensor1.lf_1_sensor_position_y,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_position_x,{sensorFMU}.sensor2.lf_1_sensor_position_y,{sensorFMU}.sensor2.lf_1_sensor_reading
5.419999999999929,0.01,0.2153534962879926,0.12615449853181895,0.17756850410389302,0.0,89.13721287404223,7.437613214368711,-8.124153683737978,0.1,-0.5,0.12424081118570669,0.27800478376356574,254.00000000000006,0.08707998631259514,0.2700629266287431,254.00000000000006
5.429999999999929,0.01,0.22015871186013347,0.12595629539558914,0.17791593174240694,0.0,89.27416745199162,7.441443789534326,-8.143303141629817,0.1,-0.5,0.12356003145228267,0.2783418574299246,254.00000000000006,0.08643779665784204,0.27022153207520994,254.00000000000006
5.4399999999999284,0.01,0.22496402721172606,0.12575642265032272,0.1782624023120709,0.0,89.41112216438705,7.445274202877715,-8.162452755793318,0.1,-0.5,0.12287762244609766,0.2786756547118061,254.00000000000006,0.08579483599251109,0.2703770434522221,254.00000000000006
5.449999999999928,0.01,0.2297694139350843,0.12555488557886796,0.17860790794773707,0.0,89.54807697000251,7.449104500139406,-8.181602481406165,0.1,-0.5,0.12219360486543765,0.27900616802207256,254.00000000000006,0.08515112384198367,0.27052945877690837,255.00000000000006
5.459999999999928,0.01,0.23457485171031478,0.12535168931177734,0.17895244077196126,0.0,89.68503183985604,7.45293471409416,-8.200752286463908,0.1,-0.5,0.12150799803869915,0.27933338983408607,254.00000000000006,0.0845066784114168,0.27067877569828025,255.00000000000006
5.469999999999928,0.01,0.23938032600268894,0.12514683888166064,0.17929599290405474,0.0,89.82198675363225,7.456764868232648,-8.219902148120944,0.1,-0.5,0.12082082032465391,0.27965731268102795,255.00000000000006,0.08386151696771574,0.27082499161746715,255.00000000000006
5.479999999999928,0.01,0.24418582641558204,0.12494033926199377,0.1796385564668525,0.0,89.95894169715075,7.460594979396607,-8.239052050074879,0.1,-0.5,0.12013208939864328,0.2799779291569029,254.00000000000006,0.08321565611223547,0.270968103775121,254.00000000000006
5.489999999999927,0.01,0.24899134551233734,0.12473219539481797,0.1799801235917861,0.0,90.09589666055217,7.46442505966513,-8.258201980696969,0.1,-0.5,0.11944182245717458,0.28029523191834516,254.00000000000006,0.08256911197543518,0.27110810931494944,254.00000000000006
5.499999999999927,0.01,0.25379687797355044,0.12452241221049842,0.18032068642269655,0.0,90.23285163702485,7.468255117705085,-8.27735193169598,0.1,-0.5,0.11875003636414955,0.28060921368670744,254.00000000000006,0.08192190035578983,0.271245005329897,254.00000000000006
5.509999999999927,0.01,0.25860241999427813,0.12431099464180818,0.18066023711871332,0.0,90.36980662189308,7.472085159737998,-8.296501897163395,0.1,-0.5,0.1180567477553424,0.2809198672501433,254.00000000000006,0.08127403681888973,0.27137878889571376,255.00000000000006
5.519999999999927,0.01,0.2634079688528642,0.12409794763395661,0.1809987678564393,0.0,90.50676161197589,7.475915190232458,-8.315651872891241,0.1,-0.5,0.11736197311301493,0.2812271854655354,254.00000000000006,0.08062553676810687,0.2715094570953596,254.00000000000006
5.5299999999999265,0.01,0.26821352260252296,0.12388327615171972,0.18133627083162113,0.0,90.6437166051337,7.479745212400035,-8.334801855884796,0.1,-0.5,0.11666572881917205,0.2815311612602033,254.00000000000006,0.0799764154949558,0.27163700703674953,254.00000000000006
5.539999999999926,0.01,0.27301907985072965,0.12366698518449938,0.18167273826043784,0.0,90.78067159994816,7.483575228550549,-8.35395184401456,0.1,-0.5,0.11596803119354018,0.2818317876333771,254.00000000000006,0.07932668821495326,0.27176143586566015,254.00000000000006
5.549999999999926,0.01,0.27782463960141945,0.12344907974990277,0.1820081623805057,0.0,90.91762659549795,7.487405240346647,-8.373101835767743,0.1,-0.5,0.11526889652061899,0.28212905765744545,254.00000000000006,0.07867637009312234,0.2718827407751233,255.00000000000006
5.559999999999926,0.01,0.282630201142114,0.12322956489626431,0.1823425354516729,0.0,91.05458159120144,7.491235248986261,-8.392251830070924,0.1,-0.5,0.11456834106891865,0.2824229644790015,254.00000000000006,0.07802547626210203,0.27200091901226503,255.00000000000006
5.569999999999926,0.01,0.28743576396318177,0.12300844570441202,0.1826758497566569,0.0,91.1915365867062,7.495065255333429,-8.411401826163456,0.1,-0.5,0.11386638110460806,0.28271350131971495,254.00000000000006,0.07737402183497626,0.2721159678832913,254.00000000000006
5.5799999999999255,0.01,0.2922413277000872,0.12278572728889392,0.1830080976015664,0.0,91.32849158181261,7.498895260012138,-8.430551823507187,0.1,-0.5,0.11316303290116628,0.2830006614770568,254.00000000000006,0.07672202191433289,0.2722278847571258,255.00000000000006
5.589999999999925,0.01,0.297046892092081,0.12256141479881863,0.18333927131633576,0.0,91.46544657642335,7.502725263473636,-8.44970182172211,0.1,-0.5,0.11245831274617532,0.28328443832490374,255.00000000000006,0.07606949159863033,0.2723366670680688,254.00000000000006
5.599999999999925,0.01,0.30185245695265117,0.12233551341842026,0.18366936325509514,0.0,91.60240157050248,7.506555266044776,-8.468851820540483,0.1,-0.5,0.11175223694606892,0.2835648253140445,254.00000000000006,0.07541644598664216,0.2724423123177455,255.00000000000006
5.609999999999925,0.01,0.3066580221483875,0.12210802836742629,0.18399836579649204,0.0,91.73935656405638,7.510385267962733,-8.48800181977417,0.1,-0.5,0.11104482182941945,0.2838418159726066,254.00000000000006,0.07476290018052953,0.2725448180765365,254.00000000000006
5.619999999999925,0.01,0.3114635875838629,0.12187896490128433,0.18432627134397656,0.0,91.8763115571146,7.514215269399955,-8.5071518192914,0.1,-0.5,0.11033608374917941,0.2841154039064208,254.00000000000006,0.07410886928793381,0.2726441819846324,255.00000000000006
5.629999999999924,0.01,0.3162691531908196,0.12164832831128837,0.18465307232605982,0.0,92.01326654971808,7.518045270482107,-8.526301819000237,0.1,-0.5,0.10962603908417516,0.284385582799335,254.00000000000006,0.07345436842336966,0.2727404017528152,254.00000000000006
5.639999999999924,0.01,0.32107471892043343,0.12141612392463265,0.18497876119655082,0.0,92.15022154191274,7.521875271301,-8.545451818836847,0.1,-0.5,0.10891470424006625,0.284652346413489,254.00000000000006,0.07279941270911895,0.27283347516304013,254.00000000000006
5.649999999999924,0.01,0.3258802847377812,0.12118235710441405,0.18530333043477898,0.0,92.28717653374815,7.525705271923896,-8.564601818757154,0.1,-0.5,0.10820209564992203,0.2849156885895578,254.00000000000006,0.0721440172757682,0.27292340006887167,255.00000000000006
5.659999999999924,0.01,0.3306858506178828,0.12094703324959727,0.1856267725458039,0.0,92.42413152526842,7.529535272400229,-8.583751818730954,0.1,-0.5,0.1074882297745251,0.2851756032469704,254.00000000000006,0.07148819726249162,0.27301017439581465,254.00000000000006
5.6699999999999235,0.01,0.33549141654287057,0.1207101577949534,0.18594908006061617,0.0,92.56108651651675,7.5333652727664475,-8.602901818737736,0.1,-0.5,0.1067731231024786,0.28543208438410944,254.00000000000006,0.07083196781715234,0.2730937961415669,254.00000000000006
5.679999999999923,0.01,0.34029698249996376,0.12047173621097924,0.1862702455363316,0.0,92.69804150753134,7.537195273049529,-8.622051818763733,0.1,-0.5,0.10605679215017397,0.2856851260784948,254.00000000000006,0.07017534409627428,0.27317426337621487,254.00000000000006
5.689999999999923,0.01,0.345102548480021,0.12023177400380285,0.18659026155637898,0.0,92.83499649834675,7.54102527326952,-8.641201818799846,0.1,-0.5,0.10533925346165798,0.28593472248695573,254.00000000000006,0.06951834126492129,0.273251574242388,255.00000000000006
5.699999999999923,0.01,0.34990811447650333,0.11999027671507867,0.18690912073068466,0.0,92.97195148899254,7.544855273441381,-8.660351818840194,0.1,-0.5,0.10462052360842837,0.2861808678457922,254.00000000000006,0.06886097449651021,0.2733257269553814,255.00000000000006
5.709999999999923,0.01,0.35471368048473384,0.11974724992187556,0.18722681569585292,0.0,93.10890647949554,7.548685273576328,-8.679501818881079,0.1,-0.5,0.1039006191891777,0.286423556470929,255.00000000000006,0.06820325897257677,0.27339671980325575,254.00000000000006
5.7199999999999225,0.01,0.359519246501367,0.11950269923655907,0.18754333911534382,0.0,93.24586146987667,7.55251527368281,-8.698651818920288,0.1,-0.5,0.1031795568295005,0.2866627827580627,254.00000000000006,0.06754520988250794,0.27346455114692014,255.00000000000006
5.729999999999922,0.01,0.3643248125240102,0.11925663030666964,0.18785868367964853,0.0,93.38281646015776,7.556345273767224,-8.71780181895659,0.1,-0.5,0.10245735318157366,0.2868985411828038,254.00000000000006,0.06688684242325003,0.2735292194202018,254.00000000000006
5.739999999999922,0.01,0.3691303785509519,0.11900904881479775,0.18817284210646323,0.0,93.51977145035153,7.5601752738344405,-8.736951818989397,0.1,-0.5,0.10173402492381785,0.2871308263008132,254.00000000000006,0.06622817179899966,0.27359072312990496,254.00000000000006
5.749999999999922,0.01,0.37393594458096796,0.1187599604784564,0.1884858071408606,0.0,93.65672644047527,7.564005273888182,-8.756101819018529,0.1,-0.5,0.10100958876054505,0.2873596327479361,254.00000000000006,0.06556921322088255,0.27364906085586344,254.00000000000006
5.759999999999922,0.01,0.3787415106131828,0.11850937104995174,0.18879757155546067,0.0,93.79368143053853,7.567835273931313,-8.775251819044062,0.1,-0.5,0.10028406142159607,0.2875849552403307,254.00000000000006,0.0649099819066233,0.27370423125098553,255.00000000000006
5.769999999999921,0.01,0.3835470766469702,0.11825728631625208,0.18910812815060013,0.0,93.93063642055222,7.571665273966051,-8.794401819066213,0.1,-0.5,0.09955745966197077,0.2878067885745954,255.00000000000006,0.06425049308020905,0.2737562330412949,254.00000000000006
5.779999999999921,0.01,0.3883526426818822,0.1180037120988554,0.18941746975450025,0.0,94.06759141052362,7.57549527399412,-8.813551819085278,0.1,-0.5,0.09882980026145288,0.2880251276278921,254.00000000000006,0.06359076197154859,0.27380506502596735,254.00000000000006
5.789999999999921,0.01,0.3931582087175985,0.11774865425365585,0.18972558922343413,0.0,94.20454640046091,7.579325274016865,-8.832701819101585,0.1,-0.5,0.09810110002423084,0.28823996735806723,254.00000000000006,0.06293080381612809,0.2738507260773634,254.00000000000006
5.799999999999921,0.01,0.39796377475389,0.11749211867080896,0.190032479441893,0.0,94.34150139036865,7.583155274035344,-8.85185181911546,0.1,-0.5,0.09737137577851566,0.2884513028037704,253.00000000000006,0.06227063385466468,0.2738932151410583,254.00000000000006
5.809999999999921,0.01,0.4027693407905928,0.11723411127459607,0.19033813332275118,0.0,94.47845638025319,7.586985274050394,-8.871001819127219,0.1,-0.5,0.09664064437615652,0.2886591290845705,250.00000000000006,0.06161026733275822,0.27393253123586986,255.00000000000006
5.81999999999992,0.01,0.40757490682758973,0.1169746380232877,0.19064254380743106,0.0,94.61541137011727,7.590815274062676,-8.890151819137147,0.1,-0.5,0.09590892269225451,0.2888634414010697,243.00000000000006,0.06094971950054191,0.2739686734538826,254.00000000000006
5.82999999999992,0.01,0.41238047286479695,0.11671370490900608,0.19094570386606635,0.0,94.75236635996453,7.594645274072717,-8.909301819145501,0.1,-0.5,0.09517622762477505,0.2890642350350157,235.00000000000006,0.060289005612331886,0.2740016409604713,254.00000000000006
5.83999999999992,0.01,0.41718603890215455,0.11645131795758686,0.1912476064976651,0.0,94.88932134979859,7.598475274080942,-8.928451819152519,0.1,-0.5,0.0944425760941591,0.2892615053494113,223.00000000000006,0.05962814092627638,0.2740314329943208,254.00000000000006
5.84999999999992,0.01,0.42199160493961974,0.11618748322844,0.19154824473027154,0.0,95.02627633961993,7.602305274087689,-8.947601819158402,0.1,-0.5,0.0937079850429334,0.28945524778862186,212.00000000000006,0.05896714070400409,0.2740580488674452,254.00000000000006
5.8599999999999195,0.01,0.42679717097716163,0.11592220681440984,0.1918476116211279,0.0,95.16323132943353,7.60613527409323,-8.966751819163324,0.1,-0.5,0.09297247143532002,0.2896454578784813,190.00000000000003,0.058306020210272536,0.27408148796520393,254.00000000000006
5.869999999999919,0.01,0.4316027370147585,0.1156554948416344,0.19214570025683458,0.0,95.30018631923713,7.609965274097784,-8.985901819167434,0.1,-0.5,0.09223605225684503,0.28983213122639595,164.00000000000003,0.0576447947126159,0.27410174974631696,254.00000000000006
5.879999999999919,0.01,0.43640830305239464,0.11538735346940387,0.19244250375351013,0.0,95.43714130903618,7.613795274101533,-9.005051819170863,0.1,-0.5,0.09149874451394657,0.2900152635214459,140.00000000000003,0.05698347948099272,0.2741188337428776,254.00000000000006
5.889999999999919,0.01,0.44121386909005883,0.11511778889001839,0.19273801525695072,0.0,95.57409629882841,7.617625274104621,-9.024201819173722,0.5,-0.1,0.09076056523358242,0.2901948505344852,114.00000000000003,0.05632208978743353,0.27413273956036355,254.00000000000006
5.899999999999919,0.01,0.442816978022581,0.11491323663695915,0.19306383700331142,0.0,95.7068593943518,7.626558923908623,-9.0382461320408,0.5,-0.1,0.09002153146283685,0.2903708881182398,87.00000000000001,0.055660640905688216,0.2741434668776467,254.00000000000006
5.909999999999918,0.01,0.4421708199481049,0.11476241827691513,0.19341509075856061,0.0,95.83978174310732,7.639077706658603,-9.048704982282676,0.5,-0.1,0.08966049539438585,0.2906563523912019,93.00000000000001,0.055325663303054815,0.27437386777551426,254.00000000000006
5.919999999999918,0.01,0.4403405797410925,0.11463888411057539,0.19377922573323797,0.0,95.97332017141252,7.653484264406893,-9.057276789295829,0.5,-0.1,0.08957274249354533,0.29102390303454684,124.00000000000003,0.05522739651178317,0.2747636075454404,254.00000000000006
5.929999999999918,0.01,0.43766325157339636,0.11453540659471151,0.19415268396369217,0.0,96.10756012190814,7.669241433640489,-9.064498716851956,0.5,-0.1,0.08962789799016793,0.2914339776569656,164.00000000000003,0.055252849303085744,0.27523656960009646,254.00000000000006
5.939999999999918,0.01,0.4343800058145727,0.1144468205828844,0.19453287931145002,0.0,96.24243517689229,7.6859647212680064,-9.070755115744578,0.5,-0.1,0.08978596362038267,0.29187404842643616,202.00000000000006,0.05536767240985546,0.27576873159790577,254.00000000000006
5.949999999999918,0.01,0.4306633495837274,0.11436943718674698,0.1949179474783847,0.0,96.37783257686033,7.703379069674338,-9.07632087586611,0.5,-0.1,0.09001835368324111,0.2923349754287268,239.00000000000006,0.05554737036384999,0.27634274891100075,254.00000000000006
5.959999999999917,0.01,0.4266366765219215,0.11430061898411997,0.19530654997376962,0.0,96.51363830533319,7.721287717282454,-9.081392610856138,0.5,-0.1,0.090304634941695,0.2928101601048574,254.00000000000006,0.05577445223358017,0.2769461605415629,254.00000000000006
5.969999999999917,0.01,0.422388249618463,0.11423847885675441,0.19569772820987769,0.0,96.64975375943823,7.739549916541068,-9.086110952918762,0.5,-0.1,0.09063019070364323,0.2932948698135281,254.00000000000006,0.056036408965927494,0.27757004024105625,254.00000000000006
5.979999999999917,0.01,0.4179812030470799,0.11418166583561554,0.19609079654234124,0.0,96.78609970433035,7.758064990815882,-9.090576495266758,0.5,-0.1,0.09098455915322416,0.29378572553076177,254.00000000000006,0.056324284020846965,0.2782080065787485,254.00000000000006
5.989999999999917,0.01,0.41346069643832783,0.11412921245317485,0.19648526464370347,0.0,96.92261502456086,7.776760927906345,-9.094861193243606,0.5,-0.1,0.09136024892422447,0.2942803221046764,254.00000000000006,0.05663165886759382,0.2788555033803447,254.00000000000006
5.9999999999999165,0.01,0.4088590323020017,0.1140804257487812,0.19688078155443162,0.0,97.059253745354,7.795586219842169,-9.099016518308733,0.5,-0.1,0.09175189360646858,0.2947769509718607,255.00000000000006,0.056953930630754615,0.2795092801363718,255.00000000000006
6.009999999999916,0.01,0.40419931649916185,0.11403480934679018,0.19727709555350975,0.0,97.19598183528888,7.814504025360548,-9.10307928998949,0.5,-0.1,0.09215564755661275,0.29527439974801273,254.00000000000006,0.05728779656374654,0.28016701853420606,254.00000000000006
6.019999999999916,0.01,0.3994980765634576,0.11399200769981781,0.19767402547515545,0.0,97.33277437386596,7.833487994101642,-9.107075847206234,0.5,-0.1,0.09256875381842755,0.29577180840680584,254.00000000000006,0.05763088551862218,0.28082706489393633,254.00000000000006
6.029999999999916,0.01,0.39476713457621226,0.11395176616726743,0.1980714402580383,0.0,97.46961324673202,7.85251927957839,-9.111025031911613,0.5,-0.1,0.09298923496055395,0.29626856658805295,255.00000000000006,0.057981494186201264,0.2814882389233587,254.00000000000006
6.039999999999916,0.01,0.39001494682674726,0.1139139024192951,0.19846924439073477,0.0,97.60648535469318,7.871584402544976,-9.114940323255846,0.5,-0.1,0.09341567178190677,0.2967642405394953,254.00000000000006,0.05833839816326765,0.2821496972526484,255.00000000000006
